1402,908,2165,1432,1160,1554,2642,2414,367,2019,1992,574,2597,332,1324,2654,266,2624,105,2630,1512,1879,2201,1144,809,897,2032,256,936,763
238,240,2086,1537,603,239,237,241,1689,1902,1228,158,1454,1477,2785,1724,1458,915,186,1505,194,1456,187,171,367,1623,248,225,1093,1862
1301,1413,914,574,1290,1300,105,1295,881,590,935,1695,596,1414,1569,722,1029,1292,2175,712,2454,2149,1129,2820,763,762,1384,1422,2694,913
2454,1695,2806,935,1129,1301,1295,1144,1151,580,2754,1977,1300,767,1741,1475,2122,1259,1441,1383,762,1183,740,1187,603,890,1299,936,1413,1724
1129,1144,930,596,1977,528,1873,1151,805,105,1160,824,1997,1695,1295,1555,285,1993,1878,2661,2252,762,1554,1431,873,911,936,1914,763,995
2156,2160,2157,1955,2158,2176,2161,1863,2658,255,1306,850,1509,1514,904,2634,830,2159,1463,496,2129,302,1169,578,726,188,1513,2185,2791,1666
1306,1279,1955,1863,1503,1666,272,1797,1794,1907,2773,390,1168,301,299,2161,1770,549,255,1665,2343,1530,496,1131,2634,1291,307,1280,2770,1463
1863,1512,2186,2157,2161,2185,2658,1509,330,824,1530,2158,302,828,1862,331,1482,588,1511,1290,191,2293,914,1495,1169,658,188,2634,829,1771
2150,2446,1403,2485,1300,2160,578,2454,2250,887,659,1468,2020,2307,1864,1257,721,1359,2618,998,2074,1259,1051,891,332,693,886,727,2155,2453
1049,190,2481,2818,907,1013,2597,989,857,2292,1513,388,583,723,1133,2148,1391,1164,990,2177,721,2817,1384,736,2821,2056,904,332,755,727
2293,1487,1049,2178,1509,190,989,828,390,1321,2816,1697,2177,1902,990,913,471,904,1491,1514,1256,2156,2179,736,874,1481,254,1287,2044,191
2087,874,2482,1279,2454,2446,329,1724,2662,915,158,1257,1295,1309,1989,1954,893,1050,914,2453,875,1258,2655,1301,247,2177,380,1862,861,2646
909,329,333,908,1132,904,893,390,307,299,2343,190,657,897,1744,1863,1907,641,1503,330,176,2594,2086,903,376,191,1510,1305,1432,1770
2315,1862,2868,2186,1320,2658,1861,1902,2293,1319,254,238,2185,1506,850,912,2740,1159,188,914,2157,339,2178,331,1863,1913,1505,1482,1402,2633
2315,2868,1555,1321,755,2662,1319,1574,1320,1159,238,1160,80,1573,1482,828,1487,1861,2293,577,330,2816,756,1400,339,1862,2629,2238,667,1481
887,1977,888,570,2806,2247,2155,580,911,1029,882,2250,762,2074,2116,763,1878,1431,2315,1144,2149,805,998,2414,464,2363,528,716,889,1828
909,887,1445,888,610,2019,1432,1955,908,1351,889,2738,892,443,479,659,890,570,332,1144,1878,1352,98,195,929,404,891,1819,927,896
888,390,1306,1279,887,2159,1920,2481,1287,376,2770,1168,911,496,299,827,1280,251,1745,1513,1391,2292,435,1305,660,2177,2343,2427,1983,1164
755,1290,724,2256,1300,2293,990,1554,2237,787,754,2307,1403,723,861,1569,2043,2200,2056,1993,974,1989,2150,2650,2199,2785,1696,2646,1049,1903
1512,2257,1873,865,739,1743,2255,191,582,1470,330,354,930,2256,1573,970,1401,435,1696,577,1742,857,1574,2479,365,2236,1448,72,1713,1932
1506,2630,2773,2186,913,2783,2772,1290,2414,1291,1623,2629,1453,2631,1402,1403,738,444,1862,2291,1115,562,1292,1438,2433,2822,2471,4,1384,1902
904,1513,1509,255,1666,1306,1907,390,2773,1503,1955,73,254,1491,301,1514,896,2157,2176,2634,1863,1168,1279,850,2161,1904,1280,590,2343,1506
908,914,755,2315,873,909,1144,911,2817,2033,2414,1151,1555,2819,367,2032,1864,1482,887,1979,753,528,2818,2019,757,1116,659,2341,2413,1160
1955,496,909,2086,2160,1744,1463,2161,354,887,2658,889,1351,443,2634,307,301,609,578,759,904,1169,2020,1794,529,73,2631,1724,1796,658
