2177,2160,874,827,911,1279,825,1514,2791,2159,390,870,571,2156,572,726,2129,191,1135,2157,1743,221,1230,2130,2249,1486,496,2628,1306,1168
721,255,2820,2158,888,2480,2700,105,2176,2773,722,1385,660,390,720,2162,2694,855,1513,2157,1568,1159,2405,1512,889,830,1569,1863,2156,985
190,2818,2481,1164,2159,390,1391,240,1462,1697,1487,2151,330,911,1743,1133,327,329,1475,103,2597,641,328,1454,1247,887,2257,2658,888,1795
2315,904,1481,1509,2412,1536,1453,2404,1904,1463,1491,2629,590,1907,1482,2184,1512,252,2292,1432,1363,2343,301,1503,1487,854,254,1920,2161,641
2292,190,1403,2177,1168,1491,1506,254,1306,2658,850,2159,2481,1902,301,913,2160,73,1509,240,2315,2634,1513,1487,299,2156,2631,176,1050,1955
930,1151,2654,1144,1300,194,1295,1695,2414,762,755,1992,2754,239,1993,1402,1977,873,574,1383,936,857,2650,2043,1878,763,2642,1400,1873,2668
755,2315,1555,2043,1402,1401,1151,1300,2650,1977,1400,2754,724,754,2668,1696,1862,1448,2785,2817,786,912,1903,2201,2646,1162,1914,861,1321,935
889,887,2150,2043,2703,2074,888,577,659,2454,1695,805,2148,1992,902,379,1932,2654,911,1977,1014,1144,722,1569,1878,724,1929,1712,2180,729
2315,330,930,1509,1132,904,1363,2482,1490,1491,1190,1744,1504,2816,2651,1143,333,191,988,307,2157,2822,1534,374,1486,1170,1861,365,366,2293
2315,1291,1863,596,238,1412,1650,824,515,80,2186,272,603,1666,2628,714,2175,1135,1160,2187,819,2868,2694,1482,589,1878,2236,1724,1537,1574
1878,908,1412,2032,1977,332,1129,1863,2019,762,909,1475,763,1567,1144,1537,2341,96,479,1181,97,1151,824,1993,2247,657,891,2150,659,658
1512,1555,658,1568,1129,1463,2658,2363,909,2315,1554,1138,1134,396,2818,2247,660,2019,1861,1128,1754,1650,1432,904,1696,1159,188,2155,2201,753
2315,1402,1401,2043,1976,724,2150,1977,1290,2785,1569,1403,979,1568,1554,2646,1292,2247,583,2668,786,2183,2650,577,2200,861,1555,755,723,722
888,887,1287,2074,911,390,805,1475,1279,857,1164,2806,1295,435,873,903,2252,1724,2454,1713,2427,1878,1873,2702,387,889,2306,2020,2770,251
1279,2427,1301,2160,332,2821,898,1128,2773,2020,2426,1300,1129,2446,2074,1819,1383,1797,1403,1115,2704,886,2086,1476,2770,2032,1295,1513,1275,581
190,1509,1384,2293,366,1476,1513,329,641,2816,158,1862,330,874,904,907,1504,1170,753,302,2821,2157,390,240,2818,1956,333,1510,1049,973
1290,2293,861,828,2255,462,2256,810,712,2785,1291,191,874,1509,1256,330,726,1287,2619,800,831,1862,725,2816,1199,2646,1504,1902,80,1292
2315,1862,1402,1482,914,1160,2201,1448,755,2165,1555,2414,444,2293,1914,238,105,367,106,603,2741,331,2657,1290,1480,1292,574,1903,2030,2164
909,1955,272,1503,2086,1744,1463,2343,1536,2186,1168,1794,1534,376,299,307,496,1863,252,391,2739,657,1445,1906,1306,443,1432,1907,609,904
914,2446,2773,721,332,896,255,254,2186,1306,1403,2633,1305,444,1051,331,2148,905,1384,107,881,1326,1665,590,588,188,1506,2235,1467,2783
1743,873,390,1555,911,2816,1795,2454,1133,327,1573,1164,753,1864,2701,756,2252,2251,1575,1135,1132,285,827,1321,1740,1697,2818,752,1754,1574
1151,1977,755,1300,580,1555,1144,2806,2754,2315,1914,767,762,2668,935,724,2454,911,873,1993,936,1572,1695,1401,603,1295,1129,1712,2043,804
913,496,1509,1513,1287,2630,1514,2631,1279,2177,2176,2412,1955,73,1280,1128,1954,1666,881,1506,2292,2157,390,301,831,1794,2704,2634,2291,871
2315,1903,2184,828,1290,724,2165,2413,1400,1160,990,2293,1159,755,861,786,1482,331,810,2250,1989,2255,2817,914,1321,754,2164,2785,2238,2043
